timestamp,x,y,z
0.0,-0.178463,-0.046642,0.986425
0.005,0.037476,-0.047195,0.984124
0.01,-0.037064,-0.021724,0.974717
0.015,0.05156,0.017623,0.979295
0.02,-0.008924,-0.027866,0.98618
0.025,-0.000411,0.072197,0.984223
0.03,0.005709,-0.026483,0.972682
0.035,-0.071523,0.001232,0.99382
0.04,0.031825,0.028705,0.983679
0.045,-0.001198,-0.039358,0.968648
0.05,0.186088,0.162649,0.987153
0.055,0.021345,-0.039657,0.985549
0.06,-0.067617,-0.01647,0.98194
0.065,0.030484,0.031428,0.983123
0.07,-0.033166,0.005622,0.977313
0.075,-0.005692,0.070081,0.975054
0.08,0.028408,-0.055052,0.986748
0.085,-0.057741,-0.011306,0.981686
0.09,0.039949,0.016476,0.984696
0.095,-0.018725,-0.05641,0.988386
0.1,0.165522,-0.063191,0.970496
0.105,0.037881,-0.021551,0.977101
0.11,-0.076263,0.014856,0.980242
0.115,0.047437,0.045421,0.977119
0.12,0.016918,-0.060059,0.977537
0.125,-0.031336,0.037099,0.971815
0.13,-0.001684,-0.030441,0.987592
0.135,-0.068873,-0.030612,0.991684
0.14,0.048549,0.031643,0.986301
0.145,-0.040859,-0.025314,0.982387
0.15,0.183403,0.189537,0.977555
0.155,0.018994,-0.014588,0.973907
0.16,-0.055459,-0.011598,0.984495
0.165,0.010975,0.033646,0.976708
0.17,-0.00544,-0.041661,0.983434
0.175,0.030885,0.049553,0.97553
0.18,0.025969,-0.036723,0.978258
0.185,-0.068864,-0.020526,0.982876
0.19,0.0376,0.010561,0.977183
0.195,-0.054831,-0.053614,0.986888
0.2,-0.165928,0.169627,0.973179
0.205,0.041966,-0.004877,0.989612
0.21,-0.048265,-0.005693,0.983881
0.215,0.002142,0.018544,0.976037
0.22,-0.021526,-0.017724,0.980495
0.225,0.005389,0.033803,0.978862
0.23,0.012168,-0.013578,0.979288
0.235,-0.042519,-0.030603,0.974961
0.24,0.020637,0.035252,0.990685
0.245,-0.025903,-0.036422,0.97371
0.25,0.195866,-0.04498,0.983253
0.255,0.034284,-0.029804,0.973093
0.26,-0.05548,-0.031867,0.981787
0.265,0.06263,0.004408,0.973837
0.27,-0.007333,-0.005651,0.97847
0.275,-0.008957,0.066574,0.975809
0.28,0.038823,-0.013611,0.978953
0.285,-0.065602,-0.018771,0.975241
0.29,0.022342,0.033797,0.982392
0.295,-0.008566,-0.061221,0.975756
0.3,-0.145854,0.142828,0.972181
0.305,0.033808,-0.025769,0.97121
0.31,-0.043057,-0.034844,0.970265
0.315,0.049661,0.005702,0.990917
0.32,-0.052111,-0.04168,0.990551
0.325,0.017132,0.045606,0.98152
0.33,0.021783,-0.001487,0.991397
0.335,-0.097634,-0.013006,0.982926
0.34,0.037023,0.017474,0.981054
0.345,-0.028331,-0.039231,0.978801
0.35,0.202849,-0.073979,0.972531
0.355,0.021271,-0.053973,0.980462
0.36,-0.053544,-0.047353,0.975899
0.365,0.050442,0.000763,0.979612
0.37,-0.035057,-0.024164,0.969306
0.375,-0.022525,0.053637,0.977324
0.38,0.020278,-0.003626,0.988699
0.385,-0.062418,-0.019839,0.978905
0.39,0.046587,0.029442,0.975399
0.395,-0.017632,-0.047727,0.973659
0.4,0.179444,0.156842,0.986362
0.405,0.027748,-0.015685,0.986462
0.41,-0.05514,-0.031345,0.983941
0.415,0.037458,0.022994,0.979092
0.42,-0.04363,-0.049032,0.983154
0.425,-0.031918,0.052309,0.979195
0.43,-0.00219,-0.000672,0.97438
0.435,-0.060316,-0.038415,0.983669
0.44,0.06047,0.007624,0.990514
0.445,-0.021436,-0.002862,0.98155
0.45,-0.16291,-0.039252,0.976664
0.455,0.036832,-0.006082,0.982065
0.46,-0.022318,-0.012947,0.984562
0.465,0.051107,0.044005,0.980456
0.47,0.00728,-0.033891,0.974537
0.475,0.010448,0.031926,0.98014
0.48,0.000841,-0.027525,0.968157
0.485,-0.092077,-0.023592,0.983013
0.49,0.05126,-0.000727,0.982468
0.495,-0.001809,-0.044551,0.974917
0.5,-0.136025,-0.059742,0.991412
0.505,0.009396,-0.018067,0.985287
0.51,-0.050665,-0.022014,0.970102
0.515,0.045063,0.008984,0.971533
0.52,-0.050662,-0.042052,0.98485
0.525,0.012554,0.061446,0.978015
0.53,0.014594,-0.022071,0.978678
0.535,-0.077163,-0.016297,0.979722
0.54,0.072118,0.011298,0.976345
0.545,-0.024392,-0.04146,0.988745
0.55,-0.166035,0.14356,0.980369
0.555,0.015439,-0.021453,0.981534
0.56,-0.068765,-0.01152,0.981515
0.565,0.044283,0.040167,0.970295
0.57,-0.00324,-0.061679,0.980872
0.575,-0.003417,0.079968,0.969044
0.58,-0.005352,-0.005371,0.984524
0.585,-0.031072,-0.010299,0.978628
0.59,0.053391,0.02383,0.980245
0.595,-0.029522,-0.033973,0.98099
0.6,0.185557,-0.082626,0.984023
0.605,-0.004051,0.005686,0.972749
0.61,-0.058995,-0.020517,0.98248
0.615,0.05971,0.021675,0.974544
0.62,-0.044112,-0.020373,0.979021
0.625,0.019938,0.069274,0.976875
0.63,0.031535,-0.027957,0.97628
0.635,-0.062095,-0.020113,0.98768
0.64,0.048338,0.017991,0.9824
0.645,-0.020138,-0.021865,0.982778
0.65,-0.179757,0.145039,0.972364
0.655,-0.008506,-0.019006,0.988371
0.66,-0.033561,-0.018979,0.992501
0.665,0.036729,0.029927,0.974371
0.67,-0.013115,-0.030248,0.970826
0.675,0.003514,0.05026,0.976591
0.68,0.026252,-0.052519,0.979919
0.685,-0.049511,-0.006858,0.994421
0.69,0.031483,0.034785,0.981232
0.695,-0.009702,-0.032268,0.975872
0.7,-0.177118,0.117312,0.984737
0.705,0.006167,-0.024591,0.980357
0.71,-0.038562,-0.021285,0.991698
0.715,0.064479,0.00788,0.973127
0.72,-0.028702,-0.04288,0.992424
0.725,0.002398,0.043855,0.980928
0.73,0.004259,-0.02555,0.984769
0.735,-0.075078,-0.021336,0.976864
0.74,0.032065,-0.013471,0.985036
0.745,-0.006816,-0.032096,0.980719
0.75,-0.194317,0.139003,0.980801
0.755,-0.002519,-0.005547,0.980736
0.76,-0.053703,0.003722,0.97291
0.765,0.036007,0.006168,0.987337
0.77,0.003302,-0.020191,0.978973
0.775,-0.00748,0.03683,0.981686
0.78,0.012127,-0.009275,0.972341
0.785,-0.069652,-0.017437,0.980854
0.79,0.012078,0.011706,0.971405
0.795,-0.009919,-0.036313,0.978912
0.8,0.19736,0.141138,0.978266
0.805,0.033747,-0.035442,0.98749
0.81,-0.060844,-0.021788,0.986352
0.815,0.056818,0.008291,0.983307
0.82,-0.017454,-0.011795,0.988525
0.825,0.005519,0.047413,0.976281
0.83,0.007395,-0.0397,0.979215
0.835,-0.060386,-0.038733,0.977028
0.84,0.03265,-0.012292,0.979993
0.845,-0.006141,-0.041832,0.98567
0.85,-0.183193,-0.056293,0.988366
0.855,0.003735,-0.006699,0.991198
0.86,-0.059634,-0.006625,0.985693
0.865,0.045918,0.002294,0.986116
0.87,-0.040483,-0.034637,0.976388
0.875,-0.009128,0.061144,0.982351
0.88,0.010633,-0.012684,0.973373
0.885,-0.052301,-0.033504,0.980111
0.89,0.054613,0.020796,0.975681
0.895,-0.003396,-0.03277,0.972352
0.9,0.182932,-0.043421,0.970032
0.905,0.006871,-0.025674,0.988466
0.91,-0.079626,-0.017201,0.981522
0.915,0.048281,0.029532,0.981604
0.92,-0.021417,-0.030341,0.981792
0.925,0.01316,0.049048,0.991518
0.93,0.034284,0.006889,0.987215
0.935,-0.0283,-0.020449,0.986152
0.94,0.033542,0.009681,0.970679
0.945,-0.006834,-0.006067,0.980888
0.95,-0.197987,0.149077,0.99328
0.955,0.034936,-0.013565,0.983853
0.96,-0.076355,-0.021252,0.98834
