timestamp,x,y,z
0.0,0.000854,0.064532,0.996301
0.005,0.021261,-0.020744,0.962981
0.01,-0.058355,-0.01096,0.994948
0.015,0.038573,0.023375,0.971895
0.02,-0.023067,-0.023922,0.980589
0.025,0.010692,0.060341,1.002767
0.03,0.033806,-0.022144,0.962935
0.035,-0.045237,-0.02226,0.990942
0.04,0.040238,0.017857,0.977953
0.045,-0.024685,-0.02159,0.977484
0.05,0.003641,0.046796,0.999082
0.055,0.020543,-0.006125,0.957825
0.06,-0.054851,-0.023374,0.994124
0.065,0.036026,0.00656,0.971205
0.07,-0.028857,-0.013492,0.986041
0.075,0.000605,0.064705,0.994622
0.08,0.029507,-0.014772,0.955869
0.085,-0.066914,-0.028394,0.989373
0.09,0.035021,0.017347,0.968345
0.095,-0.017672,-0.035752,0.97447
0.1,0.001798,0.037698,1.000296
0.105,0.018158,-0.001018,0.965367
0.11,-0.058185,-0.002317,0.990376
0.115,0.041621,0.019651,0.972126
0.12,-0.022117,-0.024007,0.978028
0.125,-0.005276,0.047942,0.99872
0.13,0.023675,-0.024755,0.96226
0.135,-0.043989,-0.031932,0.996479
0.14,0.044307,0.019908,0.970116
0.145,-0.016038,-0.027368,0.979579
0.15,0.007776,0.052617,1.000899
0.155,0.012302,-0.009585,0.962841
0.16,-0.050744,-0.026547,0.992573
0.165,0.035029,0.021912,0.976429
0.17,-0.020464,-0.04715,0.981823
0.175,0.022019,0.052563,1.000675
0.18,0.028531,-0.007752,0.962156
0.185,-0.04989,-0.010093,0.996401
0.19,0.041278,0.019323,0.97381
0.195,-0.023131,-0.019415,0.980335
0.2,0.004366,0.033933,0.999783
0.205,0.021162,-0.011847,0.962858
0.21,-0.045965,-0.023737,0.998198
0.215,0.040473,0.005718,0.968352
0.22,-0.024995,-0.026829,0.981502
0.225,0.018902,0.053485,0.996479
0.23,0.028536,-0.018554,0.961492
0.235,-0.062822,-0.019707,0.992835
0.24,0.041284,0.02502,0.972422
0.245,-0.022194,-0.02155,0.981289
0.25,-0.00095,0.058282,0.99815
0.255,0.031185,-0.022819,0.963202
0.26,-0.054859,-0.020813,0.998729
0.265,0.033298,0.015442,0.968301
0.27,-0.016359,-0.024053,0.978535
0.275,-0.007859,0.061936,1.000408
0.28,0.016843,-0.014327,0.962707
0.285,-0.055497,-0.031347,0.995041
0.29,0.03843,0.019487,0.966532
0.295,-0.026399,-0.031988,0.978904
0.3,0.001707,0.051294,0.996098
0.305,0.018642,-0.018229,0.965141
0.31,-0.053039,-0.02437,0.991062
0.315,0.041837,-0.0054,0.975336
0.32,-0.032678,-0.034134,0.979173
0.325,-0.006962,0.052467,1.00171
0.33,0.024682,-0.016339,0.964284
0.335,-0.055157,-0.02626,0.998587
0.34,0.029165,0.01464,0.969183
0.345,-0.016185,-0.024895,0.97618
0.35,0.016118,0.045041,0.99979
0.355,0.022548,-0.004578,0.958496
0.36,-0.054856,-0.026093,0.991067
0.365,0.040997,0.014693,0.968232
0.37,-0.024512,-0.028926,0.978127
0.375,-0.001545,0.042455,0.996541
0.38,0.026521,-0.02633,0.958102
0.385,-0.059334,-0.026077,0.988664
0.39,0.039039,0.025821,0.972579
0.395,-0.02512,-0.035439,0.982174
0.4,0.008167,0.054853,0.994747
0.405,0.031217,-0.024722,0.962749
0.41,-0.053099,-0.02407,0.995081
0.415,0.031365,0.005725,0.971703
0.42,-0.02913,-0.037155,0.984061
0.425,0.023449,0.043442,1.001847
0.43,0.035914,-0.022309,0.959127
0.435,-0.06413,-0.025558,0.995457
0.44,0.028017,0.010324,0.972405
0.445,-0.016406,-0.033943,0.980867
0.45,0.004974,0.056281,1.002295
0.455,0.027183,-0.012842,0.967404
0.46,-0.045588,-0.025927,0.993992
0.465,0.037467,0.018739,0.970525
0.47,-0.022112,-0.028393,0.978318
0.475,0.005892,0.043412,1.000014
0.48,0.02637,-0.007383,0.963475
0.485,-0.049007,-0.026963,0.997155
0.49,0.050315,0.01044,0.971721
0.495,-0.012558,-0.011891,0.977608
0.5,0.008085,0.041156,0.997157
0.505,0.034394,-0.023274,0.967353
0.51,-0.051163,-0.030891,0.996988
0.515,0.024586,0.022459,0.966888
0.52,-0.021932,-0.021157,0.972252
0.525,0.017638,0.058438,1.000245
0.53,0.02229,-0.021468,0.962501
0.535,-0.044613,-0.029422,0.990212
0.54,0.033984,0.005526,0.965925
0.545,-0.020867,-0.020921,0.980529
0.55,0.000151,0.045649,0.99898
0.555,0.043623,-0.020701,0.964909
0.56,-0.048473,-0.036311,0.986961
0.565,0.044504,0.017704,0.972058
0.57,-0.0247,-0.02952,0.977956
0.575,-0.002027,0.065108,0.997896
0.58,0.036754,-0.011783,0.960904
0.585,-0.057795,-0.031261,0.985767
0.59,0.049653,0.001174,0.971483
0.595,-0.022447,-0.03795,0.978642
0.6,0.022677,0.053527,0.998487
0.605,0.021229,-0.019344,0.966736
0.61,-0.066212,-0.028006,0.992127
0.615,0.042022,0.01469,0.967619
0.62,-0.021623,-0.039385,0.979092
0.625,0.009659,0.040833,0.999223
0.63,0.035451,-0.021751,0.963337
0.635,-0.059158,-0.029237,0.993364
0.64,0.02608,0.001783,0.970903
0.645,-0.030426,-0.018111,0.979495
0.65,-0.003777,0.048949,0.994516
0.655,0.012592,-0.02997,0.962149
0.66,-0.062382,-0.023657,0.992754
0.665,0.028645,0.019872,0.970085
0.67,-0.02475,-0.008581,0.977534
0.675,-3.4e-05,0.04889,0.999213
0.68,0.025864,-0.015278,0.957298
0.685,-0.04625,-0.032971,0.989705
0.69,0.034423,0.006394,0.974811
0.695,-0.018041,-0.046238,0.976548
0.7,0.002022,0.049267,0.99933
0.705,0.028959,-0.014885,0.963891
0.71,-0.048867,-0.037986,0.990384
0.715,0.030691,0.02045,0.973266
0.72,-0.034,-0.003421,0.979717
0.725,0.007416,0.036777,0.997501
0.73,0.02612,-0.015288,0.966478
0.735,-0.041685,-0.029425,0.993558
0.74,0.032096,0.012591,0.969363
0.745,-0.00919,-0.029723,0.977344
0.75,-0.010645,0.066464,1.006433
0.755,0.023326,-0.013404,0.968839
0.76,-0.057355,-0.021697,0.993912
0.765,0.032,0.02585,0.964786
0.77,-0.026735,-0.028623,0.979259
0.775,0.007821,0.06671,0.994671
0.78,0.038576,-0.022852,0.966326
0.785,-0.05482,-0.030603,0.994146
0.79,0.044341,0.015784,0.97155
0.795,-0.023371,-0.028899,0.982991
0.8,0.008997,0.051917,0.992974
0.805,0.006713,-0.019094,0.967213
0.81,-0.052967,-0.039447,0.993783
0.815,0.039669,0.018231,0.967664
0.82,-0.03164,-0.030202,0.981791
0.825,0.003278,0.054953,1.000149
0.83,0.018727,-0.019204,0.966439
0.835,-0.036939,-0.022784,0.992969
0.84,0.027083,0.000309,0.969726
0.845,-0.028387,-0.032945,0.97742
0.85,-0.013378,0.048468,1.003943
0.855,0.012959,-0.01691,0.965141
0.86,-0.052113,-0.015959,0.993874
0.865,0.024684,0.018177,0.969062
0.87,-0.044553,-0.015229,0.981912
0.875,0.005697,0.064846,1.001504
0.88,0.026169,-0.017454,0.957178
0.885,-0.051702,-0.014902,0.997256
0.89,0.03763,0.018652,0.961856
0.895,-0.027597,-0.04175,0.97634
0.9,0.030071,0.051073,0.995581
0.905,0.020948,-0.004629,0.966881
0.91,-0.050336,-0.010057,0.995453
0.915,0.024686,0.011805,0.968834
0.92,-0.027709,-0.03308,0.981156
0.925,-0.004098,0.056691,0.996548
0.93,0.027035,-0.01617,0.963024
0.935,-0.056975,-0.02703,0.98553
0.94,0.026804,0.01597,0.972994
0.945,-0.038611,-0.040667,0.976125
0.95,0.012324,0.057793,0.999506
0.955,0.031823,-0.007874,0.965747
0.96,-0.047188,-0.026031,0.990983
0.965,0.034078,0.006777,0.966404
0.97,-0.017253,-0.025709,0.979249
0.975,0.015255,0.057089,1.00177
0.98,0.029495,-0.019291,0.965203
0.985,-0.042343,-0.022626,0.991777
0.99,0.033628,0.004234,0.973817
0.995,-0.020949,-0.045023,0.978059
1.0,-0.003785,0.057704,0.997861
1.005,0.042164,-0.015207,0.964639
1.01,-0.059407,-0.022292,0.994217
1.015,0.037669,-0.003734,0.966207
1.02,-0.017391,-0.033096,0.980353
1.025,0.001998,0.057028,0.999134
1.03,0.025498,-0.029167,0.961081
1.035,-0.04785,-0.030319,0.98484
1.04,0.034535,0.001395,0.968819
1.045,-0.024611,-0.023066,0.983089
1.05,0.006062,0.053824,1.005481
1.055,0.020362,-0.007536,0.966058
1.06,-0.054507,-0.040205,0.996911
1.065,0.038291,0.011072,0.971437
1.07,-0.018499,-0.034741,0.979843
1.075,0.017332,0.06634,0.999639
1.08,0.026499,-0.015752,0.959804
1.085,-0.057104,-0.026277,0.992748
1.09,0.04217,0.010137,0.971998
1.095,-0.019217,-0.035678,0.979311
1.1,0.016721,0.044092,0.998694
1.105,0.027682,-0.020495,0.962853
1.11,-0.048722,-0.022895,0.992072
1.115,0.038715,0.005509,0.971859
1.12,-0.01611,-0.017189,0.978384
1.125,0.001175,0.054295,1.000403
1.13,0.025448,-0.016437,0.964742
1.135,-0.051453,-0.018766,0.989965
1.14,0.049241,0.01315,0.972613
1.145,-0.022408,-0.036889,0.979986
1.15,0.012556,0.069857,0.996016
1.155,0.0249,-0.040895,0.962334
1.16,-0.069177,-0.025353,0.994832
1.165,0.045542,0.018276,0.966584
1.17,-0.016464,-0.025948,0.981391
1.175,0.018809,0.043067,1.002672
1.18,0.015556,-0.020664,0.96206
1.185,-0.050604,-0.030006,0.996774
1.19,0.037083,0.011259,0.971653
1.195,-0.034213,-0.030747,0.978652
1.2,0.012628,0.058358,1.000299
1.205,0.021515,-0.019385,0.962748
1.21,-0.048951,-0.033226,0.992448
1.215,0.02256,0.017096,0.965072
1.22,-0.028791,-0.023203,0.982946
1.225,0.003332,0.063928,0.995267
1.23,0.01426,-0.027381,0.960555
1.235,-0.052397,-0.029028,0.994221
1.24,0.046064,0.005209,0.970373
1.245,-0.021965,-0.028027,0.976438
1.25,0.013935,0.046587,0.998822
1.255,0.03798,-0.009746,0.961812
1.26,-0.04844,-0.024892,0.992298
1.265,0.032765,0.009223,0.971114
1.27,-0.036982,-0.022889,0.978672
1.275,0.011751,0.052989,0.992693
1.28,0.023756,-0.011215,0.964574
1.285,-0.056427,-0.006946,0.991222
1.29,0.041492,0.008006,0.972124
1.295,-0.017439,-0.032073,0.976914
1.3,-0.003434,0.044324,0.997605
1.305,0.028292,-0.010219,0.966541
1.31,-0.055352,-0.020865,0.988159
1.315,0.042522,0.014736,0.965815
1.32,-0.021925,-0.023361,0.977344
1.325,0.016339,0.045856,0.998842
1.33,0.021138,-0.009279,0.963729
1.335,-0.055931,-0.026386,0.994573
1.34,0.031469,0.019447,0.970065
1.345,-0.023188,-0.03164,0.982364
1.35,0.007095,0.054521,0.994705
1.355,0.03582,-0.021708,0.964236
1.36,-0.060557,-0.018633,0.997078
1.365,0.036435,0.01744,0.971675
1.37,-0.030998,-0.027425,0.975992
1.375,-0.00242,0.055898,0.998603
1.38,0.021679,-0.018628,0.96099
1.385,-0.064717,-0.030032,0.991334
1.39,0.037157,0.024877,0.968265
1.395,-0.027558,-0.019729,0.975926
1.4,0.004787,0.059717,0.993395
1.405,0.029978,-0.014536,0.967179
1.41,-0.04044,-0.018022,0.996151
1.415,0.031565,0.03452,0.969351
1.42,-0.037253,-0.044705,0.973083
1.425,0.005872,0.057956,1.000947
1.43,0.026369,-0.007703,0.957996
1.435,-0.043734,-0.02845,0.991083
1.44,0.035483,0.013844,0.972668
1.445,-0.028685,-0.026079,0.977518
1.45,0.016423,0.065389,1.002109
1.455,0.035096,-0.019329,0.96251
1.46,-0.054157,-0.025789,0.991472
1.465,0.038205,0.024829,0.970103
1.47,-0.018722,-0.025141,0.980138
1.475,0.029704,0.046107,0.996164
1.48,0.021848,-0.025591,0.959818
1.485,-0.05581,-0.007969,0.989654
1.49,0.03524,0.017339,0.970262
1.495,-0.015775,-0.020477,0.975455
1.5,0.006935,0.053315,0.992137
1.505,0.030757,-0.014108,0.96389
1.51,-0.04532,-0.03587,0.99477
1.515,0.051762,0.02421,0.96888
1.52,-0.022635,-0.037608,0.979121
1.525,0.006897,0.042789,0.997296
1.53,0.024117,-0.0236,0.962305
1.535,-0.067114,-0.018968,0.988849
1.54,0.026793,0.011012,0.968624
1.545,-0.020178,-0.01416,0.977775
1.55,0.010596,0.043015,0.998472
1.555,0.0473,-0.006471,0.962742
1.56,-0.042551,-0.025831,0.99996
1.565,0.042285,0.007837,0.970608
1.57,-0.009698,-0.02672,0.98353
1.575,0.004266,0.058411,1.001971
1.58,0.022285,-0.019117,0.960849
1.585,-0.05831,-0.015914,0.989148
