timestamp,x,y,z
0.0,0.03353,0.181807,1.037571
0.01,0.118769,-0.006553,0.928194
0.02,-0.048617,-0.114427,0.953105
0.03,-0.178416,0.051268,1.057907
0.04,0.151447,0.07484,0.943298
0.05,0.006869,-0.088369,0.949001
0.06,-0.195095,-0.09076,1.014699
0.07,0.136479,0.170717,1.001693
0.08,0.104979,-0.023795,0.942151
0.09,-0.107044,-0.109907,0.969318
0.1,-0.067669,0.126214,1.047651
0.11,0.158801,0.0461,0.946237
0.12,-0.026588,-0.112256,0.949241
0.13,-0.208729,-0.053436,1.043472
0.14,0.187118,0.108648,0.98294
0.15,0.053191,-0.082369,0.940701
0.16,-0.146828,-0.115443,0.991102
0.17,0.048747,0.183545,1.029889
0.18,0.13651,-0.009558,0.935822
0.19,-0.066622,-0.102864,0.955883
0.2,-0.172164,0.072267,1.058132
0.21,0.161388,0.066326,0.941977
0.22,0.024766,-0.092236,0.943643
0.23,-0.209399,-0.080896,1.022016
0.24,0.151046,0.140056,0.992094
0.25,0.092987,-0.045963,0.92732
0.26,-0.101416,-0.14198,0.974016
0.27,-0.041537,0.158021,1.03632
0.28,0.148679,0.020346,0.935066
0.29,-0.031927,-0.094959,0.943559
0.3,-0.192257,0.002254,1.056315
0.31,0.17714,0.109173,0.963224
0.32,0.045457,-0.08377,0.94458
0.33,-0.175228,-0.107561,0.995923
0.34,0.09555,0.181002,1.027424
0.35,0.133973,-0.013425,0.937271
0.36,-0.075957,-0.099497,0.953318
0.37,-0.156178,0.08536,1.064535
0.38,0.153751,0.060958,0.936514
0.39,0.005911,-0.092747,0.945237
0.4,-0.207051,-0.086457,1.034869
0.41,0.17462,0.165155,0.995792
0.42,0.080247,-0.041994,0.948797
0.43,-0.117039,-0.115638,0.971673
0.44,-0.011676,0.161608,1.039298
0.45,0.140887,0.002152,0.926781
0.46,-0.035724,-0.114874,0.951859
0.47,-0.206313,0.017732,1.055511
0.48,0.188275,0.081131,0.960158
0.49,0.040051,-0.07941,0.93465
0.5,-0.175968,-0.12361,1.010139
0.51,0.120505,0.18181,1.011753
0.52,0.096896,-0.02025,0.940609
0.53,-0.087452,-0.083232,0.976894
0.54,-0.124403,0.097976,1.060104
0.55,0.149845,0.05872,0.94251
0.56,-0.016595,-0.101889,0.941189
0.57,-0.203283,-0.054018,1.024948
0.58,0.165784,0.141576,0.980107
0.59,0.089862,-0.05372,0.931847
0.6,-0.153004,-0.119091,0.973718
0.61,0.015313,0.197668,1.052586
0.62,0.134944,-0.000724,0.93388
0.63,-0.047773,-0.095609,0.952051
0.64,-0.186767,0.027736,1.053748
0.65,0.185929,0.078388,0.952526
0.66,0.022494,-0.103528,0.947845
