timestamp,x,y,z
0.0,0.005853,0.065945,1.001365
0.01,0.05636,-0.003697,0.964528
0.02,-0.029181,-0.047917,0.973044
0.03,-0.055219,0.027254,1.011542
0.04,0.055699,0.034218,0.971995
0.05,0.020115,-0.041453,0.967391
0.06,-0.076036,-0.02245,0.990391
0.07,0.036941,0.058876,0.994051
0.08,0.040485,-0.020578,0.962578
0.09,-0.042504,-0.039115,0.980344
0.1,-0.021807,0.03369,1.008491
0.11,0.072088,0.027009,0.973073
0.12,-0.007974,-0.043638,0.971103
0.13,-0.071297,-0.010584,1.000265
0.14,0.062784,0.04627,0.977608
0.15,0.033391,-0.042767,0.965222
0.16,-0.06975,-0.040344,0.988535
0.17,0.014152,0.066843,1.000129
0.18,0.059147,-0.000894,0.959396
0.19,-0.036692,-0.060044,0.972126
0.2,-0.048639,0.024899,1.005487
0.21,0.064448,0.035349,0.967275
0.22,0.00854,-0.042139,0.966279
0.23,-0.073816,-0.02916,0.997664
0.24,0.049443,0.048617,0.983587
0.25,0.033848,-0.012653,0.961274
0.26,-0.057278,-0.046306,0.986168
0.27,-0.008525,0.047247,1.008027
0.28,0.064388,0.019014,0.967752
0.29,-0.018867,-0.043833,0.972837
0.3,-0.06432,-0.005384,1.002133
0.31,0.067754,0.050361,0.984475
0.32,0.022346,-0.021737,0.965785
0.33,-0.071516,-0.02855,0.992601
0.34,0.034798,0.061522,0.993754
0.35,0.058384,-0.011168,0.960079
0.36,-0.04777,-0.050317,0.97699
0.37,-0.040638,0.045489,1.008999
0.38,0.07103,0.037953,0.973563
0.39,0.003915,-0.055156,0.969744
0.4,-0.077654,-0.004994,0.997846
0.41,0.060763,0.053429,0.987044
0.42,0.034292,-0.018695,0.967178
0.43,-0.04876,-0.048467,0.984786
0.44,-0.005396,0.052671,1.007606
0.45,0.07191,0.012121,0.9676
0.46,-0.025583,-0.048145,0.973397
0.47,-0.06204,0.001744,1.007474
0.48,0.070026,0.042348,0.979911
0.49,0.015349,-0.040541,0.965066
0.5,-0.070359,-0.035432,0.993327
0.51,0.028536,0.061746,0.99966
0.52,0.054147,-0.014029,0.967327
0.53,-0.038453,-0.049588,0.97908
0.54,-0.039338,0.046047,1.004008
0.55,0.067954,0.027031,0.966263
0.56,-0.009846,-0.050413,0.967203
0.57,-0.078021,-0.013485,1.001196
0.58,0.044779,0.053835,0.982987
0.59,0.027222,-0.026085,0.9564
0.6,-0.063834,-0.050439,0.990934
0.61,0.00291,0.057356,0.99442
0.62,0.068963,0.008229,0.967165
0.63,-0.026338,-0.055073,0.973943
0.64,-0.060686,0.003578,1.009584
0.65,0.068103,0.044043,0.969013
0.66,0.003431,-0.036592,0.967613
0.67,-0.072385,-0.023034,0.99265
0.68,0.033071,0.073771,0.987969
0.69,0.044513,-0.001352,0.958805
0.7,-0.034515,-0.04723,0.979971
0.71,-0.017787,0.048945,1.004736
0.72,0.070851,0.018732,0.967124
0.73,-0.008356,-0.045835,0.963193
0.74,-0.070534,-0.004462,1.00209
0.75,0.054036,0.055213,0.977805
0.76,0.021913,-0.030626,0.963356
0.77,-0.061345,-0.0372,0.981642
0.78,0.008764,0.056487,1.002921
0.79,0.052995,-0.006814,0.962555
0.8,-0.032977,-0.050244,0.971633
0.81,-0.055635,0.029125,1.005252
0.82,0.067644,0.029443,0.971043
0.83,0.0019,-0.048109,0.964864
0.84,-0.074182,-0.016302,0.995824
0.85,0.037279,0.057493,0.994306
0.86,0.051626,-0.016838,0.957641
0.87,-0.041672,-0.040925,0.982488
0.88,-0.026337,0.051331,1.000231
0.89,0.06635,0.024915,0.965514
0.9,-0.018042,-0.049051,0.969528
0.91,-0.070467,-0.002346,1.002533
0.92,0.062899,0.052783,0.9794
0.93,0.031526,-0.024909,0.960062
0.94,-0.06332,-0.039681,0.987591
0.95,0.015014,0.052896,0.996815
0.96,0.05563,-0.007287,0.963501
0.97,-0.037003,-0.057574,0.972221
0.98,-0.052991,0.027792,1.007586
0.99,0.06774,0.02954,0.965837
1.0,0.000711,-0.047775,0.964719
1.01,-0.066981,-0.012286,1.000529
1.02,0.049151,0.056835,0.987121
1.03,0.042856,-0.013211,0.962983
1.04,-0.068224,-0.049095,0.983014
1.05,-0.020371,0.052565,1.00395
1.06,0.064252,0.01924,0.961247
1.07,-0.020872,-0.056123,0.968132
1.08,-0.062183,-0.003364,1.005585
1.09,0.05755,0.036953,0.979107
1.1,0.017377,-0.0329,0.962001
1.11,-0.084509,-0.04075,0.993392
1.12,0.023416,0.062121,0.990883
1.13,0.049705,-0.000289,0.968599
1.14,-0.041762,-0.046815,0.976138
1.15,-0.043691,0.033364,1.003844
1.16,0.071824,0.035744,0.970465
1.17,-0.013259,-0.038431,0.960449
1.18,-0.082812,-0.007308,0.996146
1.19,0.057715,0.057293,0.987184
1.2,0.033532,-0.021705,0.963239
1.21,-0.050536,-0.046517,0.985941
1.22,0.003274,0.062831,1.002124
1.23,0.062498,0.012199,0.964548
1.24,-0.036688,-0.047404,0.974614
1.25,-0.066721,0.00831,0.999615
1.26,0.067338,0.042177,0.976721
1.27,0.009803,-0.045103,0.964856
1.28,-0.070298,-0.030282,0.993078
1.29,0.037744,0.056239,0.991922
1.3,0.044116,-0.019582,0.964338
1.31,-0.052043,-0.044982,0.982576
1.32,-0.026031,0.037713,1.007157
1.33,0.065611,0.012358,0.96788
1.34,-0.009547,-0.046976,0.970549
1.35,-0.068349,-0.00139,1.002195
1.36,0.069149,0.054506,0.992067
1.37,0.014228,-0.024944,0.962445
1.38,-0.053465,-0.047716,0.990838
1.39,0.014411,0.062452,0.998439
1.4,0.056644,-0.003984,0.9623
1.41,-0.02392,-0.058066,0.97019
1.42,-0.057825,0.029809,1.005821
1.43,0.075985,0.038172,0.97335
1.44,0.015009,-0.034385,0.965687
1.45,-0.071353,-0.012897,0.994999
1.46,0.03893,0.055173,0.994013
1.47,0.046061,-0.017964,0.967459
1.48,-0.054699,-0.055042,0.980182
1.49,-0.027013,0.059511,1.003432
1.5,0.065299,0.019763,0.969081
