timestamp,x,y,z
0.0,0.003092,0.006931,0.982307
0.01,0.000333,-0.00331,0.976933
0.02,0.007696,-0.005374,0.980289
0.03,0.001009,-0.00163,0.981199
0.04,-0.020825,0.00224,0.981027
0.05,-0.002447,0.008869,0.983986
0.06,0.00617,0.003647,0.978488
0.07,-0.002517,-0.006756,0.976059
0.08,-0.009273,0.000937,0.98625
0.09,-0.006482,0.009567,0.985781
0.1,0.01402,-0.006055,0.975425
0.11,0.00833,0.007842,0.984028
0.12,-0.004157,-0.009443,0.98197
0.13,-0.000177,-0.010591,0.9848
0.14,0.009122,-0.000296,0.985834
0.15,-0.000214,-0.007794,0.979137
0.16,0.002944,-0.003359,0.979043
0.17,-0.015428,-0.00696,0.980555
0.18,0.004154,0.003925,0.986041
0.19,0.00763,0.007758,0.980539
0.2,0.002035,0.000326,0.979056
0.21,-0.008431,-0.003481,0.977606
0.22,-0.000193,0.002638,0.98496
0.23,0.003764,0.011704,0.981748
0.24,0.003322,-0.014922,0.974919
0.25,-0.001506,-0.005899,0.974977
0.26,-0.004378,-0.020817,0.983468
0.27,-0.000889,0.00572,0.97742
0.28,0.010824,0.004227,0.980091
0.29,0.006801,0.005468,0.977624
0.3,0.012255,0.00295,0.983236
0.31,-0.012047,4e-06,0.982892
0.32,9e-05,0.004077,0.984356
0.33,0.001117,0.003801,0.977539
0.34,0.005807,-0.006709,0.979407
0.35,0.00055,-0.005902,0.983448
0.36,-0.00562,0.011398,0.983603
0.37,0.001827,0.001169,0.982688
0.38,-0.001511,0.004011,0.976114
0.39,0.002696,-0.000233,0.980211
0.4,-0.004213,-0.009203,0.986459
0.41,0.00617,0.014385,0.984907
0.42,0.002594,0.005951,0.984061
0.43,0.003609,-0.002009,0.976946
0.44,-0.005681,-0.011395,0.977055
0.45,-0.004544,-0.002615,0.9822
0.46,0.013388,0.002065,0.982192
0.47,0.006323,0.002433,0.980218
0.48,0.003708,-0.011246,0.979541
0.49,-0.008923,-0.000446,0.980274
0.5,0.002983,-0.001346,0.985719
0.51,0.012032,0.000367,0.975368
0.52,-0.007758,-0.001705,0.982318
0.53,-0.007812,0.011049,0.988495
0.54,-0.01046,-0.007422,0.985987
0.55,0.002196,0.016792,0.982475
0.56,0.003349,5e-06,0.977371
0.57,0.010161,-0.001254,0.974101
0.58,-0.015216,-0.003528,0.981233
0.59,0.006268,0.010028,0.980969
0.6,-0.003916,0.001513,0.974914
0.61,0.000542,0.007924,0.983874
0.62,-0.00348,-0.009133,0.98089
0.63,-0.003964,0.00892,0.985892
0.64,0.010828,0.002508,0.980516
0.65,0.011354,-0.001069,0.978206
0.66,-0.002079,-0.011228,0.981822
0.67,-0.011952,-0.001857,0.982313
0.68,0.004011,0.016398,0.985897
0.69,0.006641,0.002879,0.978656
0.7,-0.0056,-0.003431,0.978057
0.71,-0.011597,-0.013496,0.975879
0.72,-0.015187,-0.001836,0.979059
0.73,0.008326,-0.003759,0.981211
0.74,0.007318,-0.006556,0.978811
0.75,0.005792,-0.001761,0.975497
0.76,-0.011094,0.003677,0.981789
0.77,-0.002338,0.025132,0.984856
0.78,0.012314,0.000153,0.973479
0.79,0.001619,0.008196,0.9764
0.8,0.000461,-0.003657,0.980713
0.81,-0.013836,-0.002474,0.985357
0.82,0.001134,0.010608,0.979279
0.83,0.004141,0.000838,0.979094
0.84,-0.006876,-0.00224,0.981952
0.85,-0.003944,-0.008751,0.983561
0.86,-0.008108,-0.005292,0.984632
0.87,0.007796,-0.005732,0.978587
0.88,0.007626,0.002944,0.977134
0.89,0.001267,-0.006912,0.980696
0.9,-0.004758,-0.006692,0.984421
0.91,0.001678,0.007628,0.984821
0.92,0.00429,0.006626,0.979064
0.93,0.001426,-0.00146,0.981376
0.94,-0.018309,-0.010651,0.981181
0.95,-0.016205,0.011984,0.987181
0.96,-0.001971,0.016883,0.982781
0.97,-0.002222,0.002096,0.976571
0.98,0.001754,0.002259,0.974192
0.99,-0.015734,0.005185,0.98774
1.0,-0.001688,0.015257,0.984291
1.01,0.016707,0.006094,0.973997
1.02,-5.1e-05,0.001716,0.977075
1.03,-0.000412,-0.00243,0.982655
1.04,-0.013703,-0.005463,0.984177
1.05,0.00523,0.011393,0.979409
1.06,-0.001375,-0.010534,0.982674
1.07,-0.002677,-0.009695,0.976237
1.08,-0.003273,0.004768,0.980686
1.09,-0.012602,0.012796,0.984621
1.1,0.010905,0.013001,0.980059
1.11,0.00455,-0.004156,0.980441
1.12,-0.008779,-0.014003,0.982677
1.13,-0.01819,-0.000689,0.985385
1.14,0.006355,0.007733,0.982752
1.15,0.002095,-9.4e-05,0.977965
1.16,0.001991,0.004211,0.979297
1.17,-0.008563,-0.007572,0.982705
1.18,0.009218,0.008747,0.985014
1.19,0.006304,-0.0035,0.981368
1.2,-0.003835,0.001099,0.980569
1.21,-0.00241,-0.005672,0.979942
1.22,-0.007211,-0.00548,0.982331
1.23,0.01436,0.00574,0.982133
1.24,0.012166,-0.001455,0.978574
1.25,0.003457,-0.005239,0.979639
1.26,0.002139,0.006844,0.988064
1.27,-0.011769,0.004778,0.983238
1.28,0.003456,0.002552,0.980698
1.29,-0.002701,-0.016533,0.981954
1.3,-0.005465,-0.011623,0.979847
1.31,-0.018839,-0.003257,0.99082
1.32,0.008121,0.002779,0.981451
1.33,0.005257,0.010076,0.979558
1.34,-0.008801,-0.004168,0.976852
1.35,-0.014462,0.003127,0.980401
1.36,-0.002628,0.004927,0.985595
1.37,0.013575,0.005334,0.982267
1.38,0.018237,-0.00225,0.97979
1.39,0.018539,-0.004948,0.982912
1.4,-0.006515,0.009513,0.983609
1.41,-0.004559,-0.008669,0.982129
1.42,-0.007671,-0.01295,0.986266
1.43,0.003858,-0.006525,0.980187
1.44,-0.012188,-0.005957,0.978902
1.45,-0.008983,0.00823,0.98304
1.46,0.003004,0.00914,0.977704
1.47,0.003773,-0.004055,0.981446
1.48,0.006417,0.002577,0.978235
1.49,-0.008297,0.003703,0.983775
1.5,-0.000152,0.008635,0.983394
1.51,0.000363,0.008534,0.980846
1.52,-0.00928,-0.000564,0.976702
1.53,-0.008979,-0.009998,0.977482
1.54,-0.007544,0.007103,0.985589
1.55,0.019043,0.007262,0.982525
1.56,0.006187,-0.001034,0.979682
1.57,0.006575,0.006178,0.976903
1.58,-0.012651,-0.021513,0.984818
1.59,-0.008805,-0.003009,0.981946
1.6,0.001109,-0.00572,0.977505
1.61,-0.002191,-0.004797,0.976409
1.62,0.01028,-0.00772,0.983769
1.63,-0.013818,-0.009557,0.986602
1.64,0.011719,0.000123,0.983075
1.65,-0.000519,-0.006673,0.982183
1.66,0.006884,0.013478,0.986997
1.67,-0.006021,0.00757,0.977618
1.68,-0.003091,0.0034,0.982344
1.69,0.007694,0.000875,0.977479
1.7,-0.001254,-0.010097,0.976633
1.71,-0.000542,-0.019051,0.976801
1.72,-0.011936,-0.001049,0.983757
1.73,-0.003734,0.000406,0.978537
1.74,-0.002625,-0.00076,0.979591
1.75,0.002167,-0.01455,0.979243
1.76,0.00295,-0.010889,0.983233
1.77,-0.002328,0.006508,0.986127
1.78,0.007104,0.006823,0.981204
1.79,0.005786,0.001071,0.977917
1.8,0.006405,-0.014607,0.985512
1.81,-0.007667,0.004568,0.98493
1.82,0.000799,0.001978,0.977294
1.83,0.014557,0.004834,0.975844
1.84,0.004496,-0.003088,0.974215
1.85,0.003398,-0.015527,0.981433
1.86,-0.00354,0.002282,0.984557
1.87,-0.000863,0.007631,0.978586
1.88,-0.005317,0.002662,0.984527
1.89,0.009698,-0.005962,0.980924
1.9,0.00265,0.008203,0.985908
1.91,0.001111,0.014621,0.980452
1.92,0.004571,-0.000735,0.975898
1.93,0.012214,0.002528,0.979187
1.94,-0.014247,0.007478,0.981401
1.95,-0.012338,0.017123,0.979787
1.96,0.011792,-0.002768,0.979838
1.97,0.001996,-0.007851,0.978863
1.98,-0.00108,0.005838,0.978653
1.99,-0.01054,-0.010917,0.981141
2.0,0.003322,-0.001911,0.982061
2.01,0.017465,-0.001608,0.978302
2.02,0.003077,0.000469,0.979328
2.03,-0.001067,-0.006784,0.982187
2.04,-0.021519,-0.002335,0.987987
2.05,0.006327,0.001768,0.980018
2.06,-0.000628,-0.00603,0.977474
2.07,-0.008835,-0.010289,0.980395
2.08,-0.015303,0.011615,0.984631
2.09,-0.002849,0.008997,0.982813
2.1,0.014276,0.008796,0.981179
2.11,-0.006399,-0.005678,0.981795
2.12,-0.004405,-0.007239,0.983743
2.13,-0.011457,-0.004001,0.989808
2.14,0.003556,-0.011543,0.978955
2.15,0.01282,-0.010293,0.978729
2.16,0.004129,-0.016399,0.979153
2.17,0.000646,-0.020791,0.982129
2.18,-0.003076,-0.002085,0.982593
2.19,0.003108,0.012695,0.975045
2.2,0.001762,-0.002364,0.979274
2.21,-0.001967,0.00334,0.977667
2.22,-0.007515,0.002646,0.984837
2.23,-0.002745,0.012869,0.97972
2.24,0.006954,-0.006472,0.975574
2.25,0.002556,0.00032,0.979754
2.26,0.009519,-0.000455,0.982308
2.27,0.00969,0.001431,0.986327
2.28,0.001962,0.008176,0.985636
2.29,0.001773,0.002112,0.979739
2.3,-0.012981,-0.00921,0.980931
2.31,-0.013337,-0.009274,0.981256
2.32,0.005885,-0.000709,0.978906
2.33,0.015254,0.00101,0.983082
2.34,-0.003609,-0.000724,0.976503
2.35,-0.011932,-0.01144,0.978462
2.36,-0.019853,0.004681,0.984789
2.37,0.00657,0.009067,0.979645
2.38,-0.003177,0.002699,0.97637
2.39,-0.005564,0.005888,0.978533
2.4,-0.015554,0.00642,0.987317
2.41,0.001708,0.000559,0.980802
2.42,-0.005051,0.012846,0.974793
2.43,-0.008285,-0.006439,0.981723
2.44,0.008407,0.001256,0.982295
2.45,-0.015087,0.003876,0.983247
2.46,-0.000389,0.002943,0.975913
2.47,0.017617,-0.01402,0.976739
2.48,0.019291,-0.005757,0.979102
2.49,-0.017597,-0.014424,0.986682
2.5,-0.001619,0.014117,0.98067
2.51,0.010004,0.012413,0.978561
2.52,0.014543,-0.008051,0.980964
2.53,-0.012483,-0.003953,0.973826
2.54,-0.008885,-0.002859,0.987855
2.55,0.012109,0.002089,0.977532
2.56,0.008318,0.004378,0.979681
2.57,-0.002937,-0.004402,0.979861
2.58,-0.010092,0.007821,0.985958
2.59,-0.010135,0.003539,0.985571
2.6,0.006197,0.009584,0.972309
2.61,0.001021,-0.001572,0.976854
2.62,-0.002995,-0.000367,0.980513
2.63,-0.011955,-0.002136,0.984283
2.64,0.009151,0.006672,0.982719
2.65,0.01289,-0.001456,0.980901
2.66,0.001451,-0.009577,0.980825
2.67,-0.006253,-0.000408,0.981804
2.68,-0.001623,0.010834,0.979242
2.69,0.00798,0.007575,0.977929
2.7,-0.001722,0.008706,0.980181
2.71,-0.001449,0.004452,0.976765
2.72,-0.009432,-0.002856,0.986364
2.73,0.019498,0.010002,0.984487
2.74,0.017334,-0.004531,0.979008
2.75,0.00366,-0.003185,0.970519
2.76,-0.013445,-0.009754,0.978307
2.77,-0.011234,0.016808,0.989986
2.78,0.016272,0.006805,0.977986
2.79,0.005624,-0.003377,0.973407
2.8,0.000624,0.002992,0.983031
2.81,-0.021414,-0.016609,0.984311
2.82,0.010167,-0.006519,0.985603
2.83,0.009994,0.005975,0.979426
2.84,-0.006278,-0.00259,0.980373
2.85,-0.010653,-0.004139,0.982401
2.86,-0.002976,-0.00479,0.986851
2.87,0.008076,0.004911,0.986274
2.88,0.002215,0.012396,0.981615
