timestamp,x,y,z
0.0,0.015393,0.04937,0.993146
0.01,0.016203,-0.006155,0.968257
0.02,-0.015872,0.029877,0.994504
0.03,-0.001038,-0.021494,0.97308
0.04,-0.056191,0.00662,1.005002
0.05,0.019441,-0.016136,0.970188
0.06,-0.047118,0.002934,1.001599
0.07,0.02325,0.00793,0.967722
0.08,-0.052583,-0.004907,0.998346
0.09,0.041823,-0.003878,0.972843
0.1,-0.034479,-0.008389,0.989788
0.11,0.025422,-0.004228,0.972449
0.12,-0.050511,-0.022294,0.983288
0.13,0.02157,-0.000484,0.975864
0.14,-0.04363,-0.019687,0.985016
0.15,0.035727,0.013467,0.972206
0.16,-0.024953,-0.006599,0.97709
0.17,0.051521,0.02342,0.976666
0.18,-0.014699,-0.037788,0.973882
0.19,0.038062,0.018135,0.976937
0.2,0.001147,-0.039521,0.973911
0.21,0.022757,0.037151,0.979237
0.22,-0.027568,-0.013308,0.980795
0.23,0.026328,0.046107,0.996285
0.24,-0.020022,-0.020663,0.976695
0.25,0.015594,0.031935,0.992105
0.26,0.019239,-0.018852,0.974686
0.27,-0.009316,0.023283,0.992329
0.28,0.008141,-0.011292,0.97241
0.29,-0.056779,0.013291,0.9982
0.3,0.015278,-0.007898,0.967971
0.31,-0.043322,0.004751,1.007511
0.32,0.009472,0.00887,0.972033
0.33,-0.025615,-0.012461,0.992368
0.34,0.017317,-0.00458,0.969325
0.35,-0.060704,-0.013396,0.984521
0.36,0.008529,0.013305,0.969859
0.37,-0.044693,-0.042124,0.974467
0.38,0.028515,-0.009604,0.974833
0.39,-0.031234,-0.018852,0.976999
0.4,0.032088,0.031022,0.966228
0.41,-0.026918,-0.011058,0.984601
0.42,0.054093,0.028266,0.974957
0.43,-0.02008,-0.03442,0.970746
0.44,0.029504,0.025625,0.979077
0.45,-0.000212,-0.021775,0.978433
0.46,0.03179,0.033884,0.981253
0.47,-0.007176,-0.018128,0.977579
0.48,0.028925,0.051074,0.984611
0.49,-0.004962,-0.039962,0.974023
0.5,0.007622,0.022951,1.001074
0.51,0.015827,-0.030286,0.971428
0.52,-0.016188,0.030814,0.992722
0.53,0.011409,-0.024486,0.973691
0.54,-0.037167,0.003856,1.001117
0.55,-0.002218,0.003733,0.969689
0.56,-0.037621,0.007472,0.999216
0.57,0.008299,-0.000104,0.968729
0.58,-0.042417,0.007037,1.002326
0.59,0.030227,0.020268,0.972969
0.6,-0.031245,-0.019791,0.984372
0.61,0.015444,-0.001603,0.971074
0.62,-0.050384,-0.040264,0.991465
0.63,0.024134,0.002632,0.974895
0.64,-0.033835,-0.036161,0.983753
0.65,0.044146,0.010692,0.975305
0.66,-0.01568,-0.011839,0.975378
0.67,0.045914,0.024679,0.974468
0.68,-0.000821,-0.014277,0.971023
0.69,0.062563,0.025518,0.976026
0.7,-0.02778,-0.01523,0.982338
0.71,0.029957,0.021934,0.98116
0.72,-0.004292,-0.009006,0.980497
0.73,0.023524,0.037815,0.985955
0.74,0.015103,-0.019386,0.977346
0.75,0.009609,0.040193,0.988105
0.76,-0.000718,-7.1e-05,0.961827
0.77,-0.001312,0.022396,0.996199
0.78,-0.019681,-0.01578,0.974149
0.79,-0.04103,0.021376,0.99878
0.8,0.033385,-0.011496,0.970968
0.81,-0.047022,0.001643,1.000272
0.82,0.02477,-0.01353,0.975212
0.83,-0.054263,-0.013825,1.001049
0.84,0.029326,0.00984,0.974519
0.85,-0.045333,-0.027109,0.990954
0.86,0.045223,-0.015583,0.967814
0.87,-0.055053,-0.018271,0.983008
0.88,-0.002481,0.00924,0.963679
0.89,-0.031577,-0.02393,0.982999
0.9,0.050961,0.009899,0.974874
0.91,-0.025678,-0.046871,0.986491
0.92,0.02743,0.013226,0.960572
0.93,-0.021833,-0.025561,0.974584
0.94,0.045938,0.012161,0.968798
0.95,-0.019848,-0.037716,0.976053
0.96,0.030438,0.052203,0.978742
0.97,-0.035464,-0.038351,0.987222
0.98,0.017463,0.046348,0.993923
0.99,0.008639,-0.023782,0.976555
1.0,0.010304,0.045053,0.992541
1.01,-0.000819,-0.030738,0.962556
1.02,0.000503,0.041708,0.995683
1.03,0.017918,-0.024173,0.969924
1.04,-0.040927,0.034057,1.002942
1.05,0.002306,0.000984,0.970845
1.06,-0.034504,0.000208,0.996309
1.07,0.015693,-0.012393,0.977862
1.08,-0.046381,-0.015654,0.99234
1.09,0.047567,-0.011231,0.971721
1.1,-0.042042,-0.007117,0.990775
1.11,0.021686,0.012612,0.978867
1.12,-0.064716,-0.033965,0.985648
1.13,0.025491,0.013816,0.974839
1.14,-0.036509,-0.024272,0.987408
1.15,0.029223,0.012294,0.97891
1.16,-0.009536,-0.021128,0.97588
1.17,0.032751,0.028844,0.97301
1.18,-0.026933,-0.044072,0.981685
1.19,0.03372,0.019141,0.968605
1.2,-0.014769,-0.033225,0.979039
1.21,0.014715,0.039794,0.968237
1.22,-0.023975,-0.013831,0.977889
1.23,0.013885,0.053557,0.986422
1.24,-0.000155,-0.009284,0.97789
1.25,0.005249,0.046824,0.99313
1.26,0.018486,-0.026677,0.971569
1.27,-0.0329,0.032516,0.999351
1.28,0.011254,-0.024356,0.969237
1.29,-0.0431,0.011885,0.995887
1.3,0.013456,-0.034814,0.967088
1.31,-0.02845,0.020358,1.001155
1.32,0.01956,-0.011853,0.982059
1.33,-0.043716,-0.002669,0.997741
1.34,0.036977,0.017956,0.971519
1.35,-0.058119,-0.010119,0.980202
1.36,0.032323,-0.008193,0.975341
1.37,-0.037729,-0.002682,0.991245
1.38,0.022851,0.013618,0.971444
1.39,-0.030031,-0.031959,0.979118
1.4,0.03583,0.01067,0.96789
1.41,-0.027337,-0.008952,0.973187
1.42,0.031607,0.029615,0.973509
1.43,-0.002205,-0.019592,0.979744
1.44,0.058498,0.010949,0.975871
1.45,-0.022993,-0.027782,0.982903
1.46,0.032798,0.040361,0.981595
1.47,-0.024921,-0.00201,0.976751
1.48,0.017077,0.045264,0.987152
1.49,-0.005079,-0.0175,0.975376
1.5,0.000685,0.041231,1.000918
1.51,0.007812,-0.013158,0.974298
1.52,-0.000956,0.011833,0.9988
1.53,0.012804,-0.024576,0.97788
1.54,-0.042278,0.016007,0.99704
1.55,0.023122,-0.0088,0.983069
1.56,-0.045913,0.00894,0.996925
1.57,0.038407,-0.004486,0.976473
1.58,-0.058603,-0.007274,1.001034
1.59,0.058953,-0.000218,0.9717
1.6,-0.046447,-0.013852,0.990721
1.61,0.014051,0.000463,0.969519
1.62,-0.056376,-0.017815,0.983613
1.63,0.033714,-0.001032,0.974616
1.64,-0.027337,-0.017329,0.98249
1.65,0.042846,2.7e-05,0.973694
1.66,-0.013439,-0.022675,0.980725
1.67,0.033662,0.035458,0.97502
1.68,-0.013268,-0.032555,0.976679
1.69,0.017755,0.030163,0.970012
1.7,-0.023681,-0.033102,0.976138
1.71,0.036015,0.033148,0.978941
1.72,-0.031363,-0.036483,0.979318
1.73,0.045748,0.061299,0.991329
1.74,0.012771,-0.000355,0.977751
1.75,0.000858,0.036254,0.992765
1.76,0.016051,-0.028484,0.973617
1.77,-0.005062,0.013931,0.993058
1.78,0.006068,-0.018141,0.978039
1.79,-0.030959,0.019464,1.004766
1.8,0.006482,-0.006439,0.970871
1.81,-0.048039,0.014229,1.000174
1.82,0.026143,-0.011638,0.975167
1.83,-0.040451,0.00876,0.996809
